CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298558400,12/28/2024,02:45:00,12/28/2024,02:51:00,9,12/28/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,25-44,BLACK,F,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,E
295151007,10/20/2024,09:47:00,10/20/2024,09:47:00,9,10/20/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,25-44,BLACK,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,E
293315370,09/15/2024,03:43:00,09/15/2024,03:56:00,9,09/15/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986624,205185,45-64,WHITE,M,4.0,40.72986175018982,-73.99143444622271,"(40.72986175018982, -73.99143444622271)",PATROL BORO MAN SOUTH,ASTOR PLACE,UNKNOWN,UNKNOWN,E
291846875,08/17/2024,10:00:00,08/17/2024,10:09:00,9,08/17/2024,675,ADMINISTRATIVE CODE,874.0,"PEDDLING,UNLAWFUL",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989393,205565,(null),(null),(null),,40.730905,-73.981442,"(40.730905, -73.981442)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
289843809,07/10/2024,12:35:00,07/10/2024,12:41:00,9,07/10/2024,675,ADMINISTRATIVE CODE,879.0,"ADM.CODE,UNCLASSIFIED VIOLATIO",COMPLETED,VIOLATION,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987457,202780,45-64,BLACK,M,,40.72326034764249,-73.98843007160802,"(40.72326034764249, -73.98843007160802)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
288440156,06/13/2024,06:34:00,06/13/2024,06:40:00,9,06/13/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,18-24,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,E
287973358,06/04/2024,23:20:00,06/04/2024,23:24:00,9,06/04/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,45-64,WHITE,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,E
286617676,05/09/2024,14:30:00,05/09/2024,14:31:00,9,05/09/2024,675,ADMINISTRATIVE CODE,879.0,"ADM.CODE,UNCLASSIFIED VIOLATIO",COMPLETED,VIOLATION,MANHATTAN,(null),PARK/PLAYGROUND,N.Y. POLICE DEPT,0,COOPER TRIANGLE,(null),,986925,204844,UNKNOWN,UNKNOWN,U,,40.72892570262312,-73.9903485532791,"(40.72892570262312, -73.9903485532791)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
286077125,04/29/2024,16:15:00,04/29/2024,16:20:00,9,04/29/2024,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,ATTEMPTED,VIOLATION,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,45-64,BLACK,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,E
285471085,04/16/2024,19:50:00,04/16/2024,20:00:00,9,04/17/2024,365,ADMINISTRATIVE CODE,877.0,UNLAWFUL DISCLOSURE OF AN INTIMATE IMAGE,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991203,201754,25-44,WHITE HISPANIC,F,,40.720443,-73.974915,"(40.720443, -73.974915)",PATROL BORO MAN SOUTH,(null),25-44,BLACK HISPANIC,M
