CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298660536,12/30/2024,19:15:00,12/30/2024,19:20:00,9,12/30/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986742,204519,25-44,BLACK,M,,40.728044,-73.991007,"(40.728044, -73.991007)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
298550837,12/27/2024,21:30:00,12/27/2024,22:00:00,9,12/27/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988991,204837,45-64,ASIAN / PACIFIC ISLANDER,M,,40.728916,-73.982895,"(40.728916, -73.982895)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
298506818,12/27/2024,01:13:00,12/27/2024,01:31:00,9,12/27/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,986791,203773,65+,BLACK,M,,40.725995,-73.990833,"(40.725995, -73.990833)",PATROL BORO MAN SOUTH,(null),65+,WHITE,M
298477242,12/25/2024,13:00:00,12/25/2024,13:15:00,9,12/25/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991216,201896,UNKNOWN,BLACK,F,,40.72083181994306,-73.97486960236321,"(40.72083181994306, -73.97486960236321)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
298370070,12/22/2024,21:00:00,12/22/2024,21:08:00,9,12/22/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990147,203913,25-44,WHITE HISPANIC,M,,40.726379,-73.978722,"(40.726379, -73.978722)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,F
298337902,12/21/2024,21:30:00,12/21/2024,21:59:00,9,12/21/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,45-64,WHITE HISPANIC,M,,40.72159,-73.977569,"(40.72159, -73.977569)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
298315634,12/20/2024,22:50:00,12/20/2024,23:00:00,9,12/21/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,987496,203963,45-64,BLACK,F,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
298294316,12/20/2024,16:45:00,12/20/2024,16:48:00,9,12/20/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989393,205565,65+,WHITE,M,,40.730913,-73.981444,"(40.730913, -73.981444)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,F
298294319,12/19/2024,11:59:00,,(null),9,12/20/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,18-24,UNKNOWN,M,,40.728102,-73.986484,"(40.728102, -73.986484)",PATROL BORO MAN SOUTH,(null),<18,BLACK,M
298167940,12/18/2024,09:25:00,12/18/2024,09:35:00,9,12/18/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991216,201896,25-44,WHITE HISPANIC,F,,40.72083181994306,-73.97486960236321,"(40.72083181994306, -73.97486960236321)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
298121442,12/15/2024,02:30:00,12/15/2024,02:35:00,9,12/16/2024,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,UNKNOWN,UNKNOWN,M,,40.729077,-73.988801,"(40.729077, -73.988801)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
298005403,12/15/2024,04:10:00,12/15/2024,04:13:00,9,12/15/2024,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,988755,203691,UNKNOWN,BLACK,M,,40.725763,-73.983746,"(40.725763, -73.983746)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
