CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
294202497,10/01/2024,11:03:00,10/01/2024,11:05:00,9,10/02/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,(null),(null),,988519,202508,45-64,WHITE HISPANIC,M,,40.722514,-73.984598,"(40.722514, -73.984598)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
293489796,09/18/2024,09:30:00,09/18/2024,09:30:00,9,09/18/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,(null),(null),,987633,203879,(null),(null),(null),,40.726278,-73.987794,"(40.726278, -73.987794)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
293066435,09/10/2024,17:04:00,09/10/2024,17:17:00,9,09/10/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,(null),(null),,986930,206924,<18,WHITE HISPANIC,M,,40.734637,-73.990328,"(40.734637, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291134002,08/04/2024,01:30:00,08/04/2024,02:55:00,9,08/04/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988991,204837,45-64,BLACK HISPANIC,M,,40.728908,-73.982893,"(40.728908, -73.982893)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
291123534,08/03/2024,16:32:00,08/03/2024,16:45:00,9,08/03/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),,986930,206924,18-24,BLACK,M,,40.734637,-73.990328,"(40.734637, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
290528055,07/23/2024,23:05:00,07/23/2024,23:10:00,9,07/23/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,(null),PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),,988814,203798,45-64,BLACK HISPANIC,M,,40.726053914581264,-73.98353371783699,"(40.726053914581264, -73.98353371783699)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
290505838,07/23/2024,16:56:00,07/23/2024,16:59:00,9,07/23/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989747,202422,45-64,BLACK,M,,40.72227659767027,-73.98016870660074,"(40.72227659767027, -73.98016870660074)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
287348311,05/23/2024,14:30:00,05/23/2024,14:35:00,9,05/23/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,(null),(null),,989135,203619,45-64,WHITE,M,,40.725563,-73.982373,"(40.725563, -73.982373)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
284358443,03/26/2024,14:15:00,03/26/2024,14:30:00,9,03/26/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),,990020,205214,<18,BLACK,M,,40.729942,-73.97918,"(40.729942, -73.97918)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
283628372,03/12/2024,20:53:00,03/12/2024,21:33:00,9,03/12/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990051,202974,25-44,WHITE HISPANIC,M,,40.723794,-73.979069,"(40.723794, -73.979069)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
282048769,02/11/2024,12:14:00,02/11/2024,13:18:00,9,02/11/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),,986930,206924,25-44,BLACK HISPANIC,F,,40.734637,-73.990328,"(40.734637, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
281655300,02/04/2024,15:52:00,02/04/2024,16:12:00,9,02/04/2024,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),,986930,206924,25-44,WHITE HISPANIC,F,,40.734637,-73.990328,"(40.734637, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
274441951,09/14/2023,16:43:00,09/14/2023,16:51:00,9,09/14/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989955,202021,45-64,WHITE HISPANIC,M,,40.721176,-73.979419,"(40.721176, -73.979419)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
272260138,08/02/2023,13:19:00,08/02/2023,13:23:00,9,08/02/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,(null),(null),N.Y. POLICE DEPT,0,(null),(null),(null),989085,205728,45-64,BLACK,M,,40.73135114934151,-73.98255460051172,"(40.73135114934151, -73.98255460051172)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
271336920,07/14/2023,23:53:00,07/14/2023,23:55:00,9,07/14/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,(null),(null),(null),987633,203879,18-24,BLACK,M,,40.726278,-73.987794,"(40.726278, -73.987794)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
270668680,07/01/2023,14:19:00,07/01/2023,14:34:00,9,07/01/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),986930,206924,25-44,WHITE HISPANIC,M,,40.734637,-73.990328,"(40.734637, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
270540465,06/28/2023,20:10:00,06/28/2023,20:17:00,9,06/28/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,(null),(null),N.Y. POLICE DEPT,0,(null),(null),(null),989458,203441,45-64,BLACK HISPANIC,M,,40.72507368062056,-73.98121053105197,"(40.72507368062056, -73.98121053105197)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
