CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298690689,12/20/2024,17:00:00,12/31/2024,15:00:00,9,12/31/2024,107,BURGLARY,224.0,"BURGLARY,RESIDENCE,UNKNOWN TIM",COMPLETED,FELONY,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,991074,203261,UNKNOWN,UNKNOWN,U,,40.724589,-73.97538,"(40.724589, -73.97538)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
298527185,12/26/2024,17:02:00,12/26/2024,18:54:00,9,12/27/2024,107,BURGLARY,211.0,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,986736,206545,UNKNOWN,WHITE,M,,40.733604,-73.991031,"(40.733604, -73.991031)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
298454797,12/24/2024,06:27:00,12/24/2024,06:30:00,9,12/25/2024,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,0,(null),(null),,990684,203336,UNKNOWN,WHITE HISPANIC,M,,40.724794,-73.976787,"(40.724794, -73.976787)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
298393393,12/16/2024,03:24:00,12/16/2024,06:25:00,9,12/23/2024,107,BURGLARY,243.0,"BURGLARY,UNCLASSIFIED,NIGHT",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,986885,204011,UNKNOWN,UNKNOWN,U,,40.726649,-73.990492,"(40.726649, -73.990492)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
298352032,12/21/2024,10:48:00,12/21/2024,10:49:00,9,12/22/2024,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987650,203138,45-64,WHITE,M,,40.724253,-73.987732,"(40.724253, -73.987732)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
298277051,12/20/2024,09:20:00,12/20/2024,09:30:00,9,12/20/2024,107,BURGLARY,241.0,"BURGLARY,UNCLASSIFIED,DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990950,202338,UNKNOWN,BLACK,M,,40.722055,-73.975829,"(40.722055, -73.975829)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
298039563,12/16/2024,03:40:00,12/16/2024,03:45:00,9,12/16/2024,107,BURGLARY,213.0,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,MANHATTAN,INSIDE,DRY CLEANER/LAUNDRY,N.Y. POLICE DEPT,0,(null),(null),,989155,202896,UNKNOWN,UNKNOWN,M,,40.723588,-73.982305,"(40.723588, -73.982305)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
298071116,12/14/2024,13:15:00,12/15/2024,15:00:00,9,12/16/2024,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,989165,202146,UNKNOWN,UNKNOWN,U,,40.72153,-73.982267,"(40.72153, -73.982267)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
298064499,12/16/2024,03:20:00,12/16/2024,03:40:00,9,12/16/2024,107,BURGLARY,213.0,"BURGLARY,COMMERCIAL,NIGHT",ATTEMPTED,FELONY,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),,988508,203965,25-44,UNKNOWN,M,,40.726522,-73.984638,"(40.726522, -73.984638)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
297787212,12/06/2024,11:00:00,12/10/2024,14:15:00,9,12/10/2024,107,BURGLARY,224.0,"BURGLARY,RESIDENCE,UNKNOWN TIM",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988235,204970,UNKNOWN,UNKNOWN,U,,40.729273,-73.98562,"(40.729273, -73.98562)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
