CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298652128,12/29/2024,23:30:00,12/30/2024,07:00:00,9,12/30/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987034,206379,UNKNOWN,UNKNOWN,U,,40.733149,-73.989953,"(40.733149, -73.989953)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,F
298588596,12/26/2024,13:32:00,12/26/2024,14:32:00,9,12/29/2024,351,CRIMINAL MISCHIEF & RELATED OF,277.0,RECKLESS ENDANGERMENT OF PROPE,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS II,73257,990831,202826,(null),(null),(null),,40.723393,-73.976257,"(40.723393, -73.976257)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298596163,12/29/2024,04:19:00,12/29/2024,04:20:00,9,12/29/2024,121,CRIMINAL MISCHIEF & RELATED OF,268.0,CRIMINAL MIS 2 & 3,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987364,204175,UNKNOWN,UNKNOWN,U,,40.727099,-73.988763,"(40.727099, -73.988763)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
299476512,12/29/2024,02:39:00,12/29/2024,02:50:00,9,12/29/2024,121,CRIMINAL MISCHIEF & RELATED OF,268.0,CRIMINAL MIS 2 & 3,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987387,203442,UNKNOWN,UNKNOWN,U,,40.725086,-73.988682,"(40.725086, -73.988682)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
298431614,12/23/2024,22:00:00,12/24/2024,02:00:00,9,12/24/2024,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,FRONT OF,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,UNKNOWN,WHITE,M,,40.728102,-73.986484,"(40.728102, -73.986484)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
298436889,12/23/2024,03:24:00,12/23/2024,03:35:00,9,12/23/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991599,203109,UNKNOWN,UNKNOWN,U,,40.72416090160228,-73.97348657506016,"(40.72416090160228, -73.97348657506016)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298361580,12/20/2024,16:30:00,12/22/2024,13:04:00,9,12/22/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,UNKNOWN,UNKNOWN,U,,40.72159,-73.977569,"(40.72159, -73.977569)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298319287,12/21/2024,10:15:00,12/21/2024,10:18:00,9,12/21/2024,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,CONSTRUCTION SITE,N.Y. POLICE DEPT,0,(null),(null),,987484,204393,25-44,BLACK HISPANIC,M,,40.727697,-73.98833,"(40.727697, -73.98833)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
298337120,12/21/2024,21:40:00,12/21/2024,21:59:00,9,12/21/2024,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,25-44,WHITE HISPANIC,M,,40.72159,-73.977569,"(40.72159, -73.977569)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
298237040,12/19/2024,14:45:00,12/19/2024,14:48:00,9,12/19/2024,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,FAST FOOD,N.Y. POLICE DEPT,0,(null),(null),,988090,205490,25-44,ASIAN / PACIFIC ISLANDER,M,,40.730708,-73.986143,"(40.730708, -73.986143)",PATROL BORO MAN SOUTH,(null),UNKNOWN,ASIAN / PACIFIC ISLANDER,D
298067634,12/16/2024,07:00:00,12/16/2024,07:10:00,9,12/16/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988650,202743,UNKNOWN,UNKNOWN,U,,40.72316,-73.984125,"(40.72316, -73.984125)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
297992875,12/13/2024,16:00:00,12/14/2024,09:58:00,9,12/14/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989278,203117,UNKNOWN,UNKNOWN,U,,40.724187,-73.981857,"(40.724187, -73.981857)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
298013262,12/14/2024,20:00:00,12/14/2024,20:05:00,9,12/14/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,990954,203045,UNKNOWN,BLACK,M,,40.723987,-73.975813,"(40.723987, -73.975813)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
297984495,12/14/2024,08:30:00,12/14/2024,12:00:00,9,12/14/2024,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ATTEMPTED,MISDEMEANOR,MANHATTAN,FRONT OF,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,UNKNOWN,UNKNOWN,U,,40.728094,-73.986483,"(40.728094, -73.986483)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
297990274,12/09/2024,22:00:00,12/11/2024,22:00:00,9,12/14/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986882,204588,UNKNOWN,UNKNOWN,U,,40.728225,-73.990502,"(40.728225, -73.990502)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
297972058,12/13/2024,21:30:00,12/13/2024,21:35:00,9,12/13/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,987872,204315,18-24,WHITE,F,,40.727476,-73.986929,"(40.727476, -73.986929)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
297782376,12/08/2024,00:00:00,12/09/2024,20:34:00,9,12/10/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990439,202897,UNKNOWN,UNKNOWN,U,,40.72358,-73.977668,"(40.72358, -73.977668)",PATROL BORO MAN SOUTH,(null),65+,UNKNOWN,M
297773454,12/10/2024,08:00:00,12/10/2024,09:00:00,9,12/10/2024,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),45743,989420,202605,UNKNOWN,UNKNOWN,U,,40.72278,-73.981345,"(40.72278, -73.981345)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
297677346,12/07/2024,19:00:00,12/08/2024,13:15:00,9,12/08/2024,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989583,203661,UNKNOWN,UNKNOWN,U,,40.72567745269658,-73.98075938060995,"(40.72567745269658, -73.98075938060995)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
297675200,12/07/2024,19:00:00,12/08/2024,13:15:00,9,12/08/2024,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989583,203661,UNKNOWN,UNKNOWN,U,,40.72567745269658,-73.98075938060995,"(40.72567745269658, -73.98075938060995)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
297675199,12/05/2024,12:20:00,12/08/2024,10:30:00,9,12/08/2024,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989216,203007,UNKNOWN,UNKNOWN,U,,40.72388259507532,-73.9820839410372,"(40.72388259507532, -73.9820839410372)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
297673242,12/07/2024,19:00:00,12/08/2024,13:15:00,9,12/08/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989583,203661,UNKNOWN,UNKNOWN,U,,40.72567745269658,-73.98075938060995,"(40.72567745269658, -73.98075938060995)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
297662355,12/07/2024,21:01:00,12/07/2024,21:08:00,9,12/08/2024,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,989249,205304,UNKNOWN,BLACK,M,,40.730189,-73.981962,"(40.730189, -73.981962)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
297659990,12/07/2024,16:00:00,12/07/2024,16:06:00,9,12/07/2024,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),,986930,205133,UNKNOWN,WHITE,M,,40.729719,-73.990328,"(40.729719, -73.990328)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
297662354,12/07/2024,20:15:00,12/07/2024,20:20:00,9,12/07/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986421,205555,UNKNOWN,BLACK,M,,40.730879,-73.992164,"(40.730879, -73.992164)",PATROL BORO MAN SOUTH,(null),65+,BLACK,M
297517089,12/05/2024,04:35:00,12/05/2024,04:39:00,9,12/05/2024,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,(null),RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988573,203364,18-24,WHITE HISPANIC,M,,40.72486281108367,-73.9844034913495,"(40.72486281108367, -73.9844034913495)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297643920,11/20/2024,22:48:00,11/21/2024,00:21:00,9,12/05/2024,351,CRIMINAL MISCHIEF & RELATED OF,256.0,"MISCHIEF, CRIMINAL 4, BY FIRE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990946,201746,(null),(null),(null),,40.720421,-73.975841,"(40.720421, -73.975841)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297376839,08/09/2024,01:04:00,08/09/2024,01:05:00,9,12/03/2024,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,CONSTRUCTION SITE,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,(null),(null),(null),,40.729077,-73.988801,"(40.729077, -73.988801)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297416477,12/02/2024,15:00:00,12/03/2024,06:30:00,9,12/03/2024,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,REAR OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),41563,990377,204681,UNKNOWN,UNKNOWN,U,,40.728477,-73.977891,"(40.728477, -73.977891)",PATROL BORO MAN SOUTH,(null),45-64,BLACK HISPANIC,F
297420606,12/03/2024,15:00:00,12/03/2024,15:02:00,9,12/03/2024,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,<18,BLACK,M,,40.728094,-73.986483,"(40.728094, -73.986483)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
