CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298090577,12/16/2024,14:00:00,12/16/2024,14:50:00,9,12/16/2024,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,UNKNOWN,WHITE HISPANIC,M,,40.729086,-73.988802,"(40.729086, -73.988802)",PATROL BORO MAN SOUTH,(null),UNKNOWN,WHITE HISPANIC,E
297816131,12/11/2024,09:40:00,12/11/2024,10:05:00,9,12/11/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,25-44,BLACK,M,,40.728094,-73.986483,"(40.728094, -73.986483)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297288955,11/30/2024,23:00:00,11/30/2024,23:08:00,9,11/30/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990345,201948,45-64,WHITE HISPANIC,M,,40.720976,-73.97801,"(40.720976, -73.97801)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,F
296467708,11/14/2024,05:30:00,11/14/2024,07:56:00,9,11/14/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988390,203754,25-44,BLACK,M,,40.725936,-73.985061,"(40.725936, -73.985061)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295819367,11/01/2024,13:15:00,11/01/2024,13:30:00,9,11/01/2024,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988115,204755,25-44,BLACK,M,,40.728682,-73.986054,"(40.728682, -73.986054)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295794008,11/01/2024,01:30:00,11/01/2024,05:00:00,9,11/01/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988390,203754,25-44,BLACK,M,,40.725936,-73.985061,"(40.725936, -73.985061)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295681045,10/30/2024,09:36:00,10/30/2024,10:38:00,9,10/30/2024,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,UNKNOWN,WHITE,M,,40.729077,-73.988801,"(40.729077, -73.988801)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295644850,10/29/2024,19:30:00,10/29/2024,19:43:00,9,10/29/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,(null),(null),,991233,203897,25-44,WHITE HISPANIC,F,,40.726335,-73.974805,"(40.726335, -73.974805)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295095118,10/19/2024,02:40:00,10/19/2024,02:50:00,9,10/19/2024,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,SMOKE SHOP,N.Y. POLICE DEPT,0,(null),(null),,989491,205018,25-44,ASIAN / PACIFIC ISLANDER,M,,40.729405,-73.98109,"(40.729405, -73.98109)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294170175,10/02/2024,00:36:00,10/02/2024,01:07:00,9,10/02/2024,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988519,202508,25-44,WHITE,M,,40.722514,-73.984598,"(40.722514, -73.984598)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
