CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298622327,12/29/2024,23:35:00,12/30/2024,00:36:00,9,12/30/2024,117,DANGEROUS DRUGS,500.0,"CONTROLLED SUBSTANCE,POSSESS.",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,25-44,WHITE,M,,40.729086,-73.988802,"(40.729086, -73.988802)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298553169,12/28/2024,00:42:00,12/28/2024,00:48:00,9,12/28/2024,117,DANGEROUS DRUGS,505.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,FELONY,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,25-44,WHITE,M,,40.729086,-73.988802,"(40.729086, -73.988802)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
297933624,12/13/2024,09:58:00,12/13/2024,10:58:00,9,12/13/2024,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990929,201243,45-64,BLACK HISPANIC,M,,40.71904,-73.975903,"(40.71904, -73.975903)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297793827,09/17/2024,17:53:00,09/17/2024,17:58:00,9,12/11/2024,117,DANGEROUS DRUGS,515.0,"CONTROLLED SUBSTANCE,SALE 3",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990406,202058,25-44,WHITE HISPANIC,M,,40.72127707158021,-73.97779159332066,"(40.72127707158021, -73.97779159332066)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297793612,12/10/2024,22:58:00,12/10/2024,23:12:00,9,12/10/2024,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991170,201398,25-44,WHITE HISPANIC,M,,40.719467,-73.975034,"(40.719467, -73.975034)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297743430,12/09/2024,21:30:00,12/09/2024,22:10:00,9,12/09/2024,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988505,204679,25-44,BLACK,F,,40.728473,-73.984645,"(40.728473, -73.984645)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297619311,12/07/2024,01:42:00,12/07/2024,01:50:00,9,12/07/2024,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,45-64,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,E
297483448,12/04/2024,14:52:00,12/04/2024,14:53:00,9,12/04/2024,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,45-64,ASIAN / PACIFIC ISLANDER,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,D
296920362,05/06/2024,19:10:00,05/06/2024,19:20:00,9,11/22/2024,117,DANGEROUS DRUGS,521.0,"CONTROLLED SUBSTANCE, SALE 5",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988814,203798,45-64,BLACK,M,,40.726053914581264,-73.98353371783699,"(40.726053914581264, -73.98353371783699)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
296823103,09/11/2024,22:26:00,11/20/2024,19:00:00,9,11/20/2024,117,DANGEROUS DRUGS,512.0,"CONTROLLED SUBSTANCE,SALE 1",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986885,204011,(null),(null),(null),,40.726641,-73.990491,"(40.726641, -73.990491)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
