CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
296248254,11/08/2024,19:00:00,11/08/2024,19:05:00,9,11/08/2024,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990345,201948,25-44,BLACK,F,,40.720976,-73.97801,"(40.720976, -73.97801)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
158628547,11/19/2016,04:05:00,,(null),9,11/19/2016,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),990293,203411,45-64,BLACK HISPANIC,M,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),UNKNOWN,BLACK HISPANIC,E
154122969,06/18/2016,20:55:00,06/18/2016,21:00:00,9,06/18/2016,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990946,201746,45-64,BLACK HISPANIC,M,,40.720421,-73.975841,"(40.720421, -73.975841)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
150735739,02/27/2016,04:25:00,02/27/2016,04:30:00,9,02/27/2016,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),990293,203411,25-44,WHITE HISPANIC,M,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
87092906,10/04/2012,20:20:00,10/04/2012,20:32:00,9,10/04/2012,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),14762,989632,202781,(null),(null),(null),,40.723262,-73.980582,"(40.723262, -73.980582)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
84538029,05/02/2012,17:49:00,05/02/2012,17:59:00,9,05/02/2012,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),990397,204360,(null),(null),(null),,40.727598,-73.977819,"(40.727598, -73.977819)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
65946294,09/18/2009,14:20:00,09/18/2009,14:25:00,9,09/18/2009,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,OTHER,N.Y. POLICE DEPT,0,(null),(null),(null),990293,203411,<18,WHITE HISPANIC,M,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
60304257,04/05/2009,20:30:00,04/05/2009,20:38:00,9,04/06/2009,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989559,202084,(null),(null),(null),,40.721351,-73.980847,"(40.721351, -73.980847)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
51296111,09/11/2008,17:10:00,09/11/2008,17:14:00,9,09/11/2008,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989116,204344,(null),(null),(null),,40.727553,-73.982443,"(40.727553, -73.982443)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
50462602,08/21/2008,06:35:00,08/21/2008,06:44:00,9,08/21/2008,572,DISORDERLY CONDUCT,625.0,DISORDERLY CONDUCT,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),988631,204189,(null),(null),(null),,40.727129,-73.984192,"(40.727129, -73.984192)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,F
