CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298573965,12/28/2024,14:25:00,12/28/2024,14:36:00,9,12/28/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990750,201291,UNKNOWN,UNKNOWN,F,,40.719182,-73.976552,"(40.719182, -73.976552)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,F
298416429,12/24/2024,02:30:00,12/24/2024,02:40:00,9,12/24/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989627,205266,25-44,WHITE HISPANIC,M,,40.730091,-73.980598,"(40.730091, -73.980598)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
298439150,12/24/2024,14:30:00,12/24/2024,14:40:00,9,12/24/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,(null),(null),,989393,205565,25-44,BLACK,F,,40.730913,-73.981444,"(40.730913, -73.981444)",PATROL BORO MAN SOUTH,(null),65+,WHITE,F
298401385,12/23/2024,15:31:00,12/23/2024,15:35:00,9,12/23/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),,986742,204519,45-64,WHITE,F,,40.728044,-73.991007,"(40.728044, -73.991007)",PATROL BORO MAN SOUTH,(null),65+,WHITE,F
298167942,12/18/2024,12:15:00,12/18/2024,12:25:00,9,12/18/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990397,204360,45-64,WHITE HISPANIC,M,,40.727606,-73.97782,"(40.727606, -73.97782)",PATROL BORO MAN SOUTH,(null),65+,WHITE HISPANIC,F
298078517,12/16/2024,19:30:00,12/16/2024,19:48:00,9,12/16/2024,106,FELONY ASSAULT,105.0,STRANGULATION 1ST,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990211,201703,25-44,BLACK,F,,40.720304,-73.978492,"(40.720304, -73.978492)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
297998553,12/14/2024,21:25:00,12/14/2024,21:30:00,9,12/14/2024,106,FELONY ASSAULT,108.0,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,UNKNOWN,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,25-44,ASIAN / PACIFIC ISLANDER,F
297968592,12/14/2024,02:51:00,12/14/2024,02:54:00,9,12/14/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986558,204048,25-44,WHITE HISPANIC,M,,40.726743,-73.99167,"(40.726743, -73.99167)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297968255,12/14/2024,02:51:00,12/14/2024,02:54:00,9,12/14/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986558,204048,25-44,WHITE HISPANIC,M,,40.726751,-73.991672,"(40.726751, -73.991672)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297947483,12/10/2024,15:00:00,12/10/2024,16:00:00,9,12/13/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991230,202035,UNKNOWN,BLACK HISPANIC,M,,40.721214,-73.974816,"(40.721214, -73.974816)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
297683279,12/08/2024,20:00:00,12/08/2024,20:10:00,9,12/08/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,986791,203773,45-64,WHITE,M,,40.725987,-73.990832,"(40.725987, -73.990832)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
297648478,12/07/2024,21:15:00,12/07/2024,21:25:00,9,12/07/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),,988625,204896,UNKNOWN,BLACK,M,,40.729069,-73.984214,"(40.729069, -73.984214)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297665474,12/07/2024,19:00:00,12/07/2024,19:15:00,9,12/07/2024,106,FELONY ASSAULT,105.0,STRANGULATION 1ST,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990345,201948,18-24,BLACK,M,,40.720984,-73.978011,"(40.720984, -73.978011)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
297556598,12/05/2024,17:30:00,12/05/2024,17:45:00,9,12/05/2024,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,(null),(null),,989559,202084,UNKNOWN,UNKNOWN,F,,40.721351,-73.980847,"(40.721351, -73.980847)",PATROL BORO MAN SOUTH,(null),65+,BLACK,F
