CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
291163157,08/04/2024,17:42:00,08/04/2024,17:47:00,9,08/04/2024,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),,987353,204899,UNKNOWN,BLACK,M,,40.729077,-73.988801,"(40.729077, -73.988801)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
288903095,06/21/2024,12:50:00,06/21/2024,13:00:00,9,06/21/2024,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985273,203770,UNKNOWN,UNKNOWN,U,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
288823926,06/19/2024,17:20:00,06/19/2024,17:40:00,9,06/19/2024,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985632,204329,UNKNOWN,BLACK,M,,40.727515,-73.99501,"(40.727515, -73.99501)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
288521120,06/14/2024,12:40:00,06/14/2024,13:00:00,9,06/14/2024,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985273,203770,45-64,BLACK,F,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
253272915,10/28/2022,16:50:00,10/28/2022,16:55:00,9,10/28/2022,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985273,203770,45-64,BLACK,M,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
250228237,08/27/2022,13:15:00,08/27/2022,13:20:00,9,08/27/2022,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985273,203770,UNKNOWN,UNKNOWN,U,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
210929347,03/12/2020,17:10:00,03/12/2020,17:14:00,9,03/12/2020,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987311,204628,25-44,WHITE,F,,40.728335,-73.988956,"(40.728335, -73.988956)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
210450267,03/03/2020,21:10:00,03/03/2020,21:15:00,9,03/03/2020,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987125,202964,45-64,BLACK,M,,40.723767,-73.989625,"(40.723767, -73.989625)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
207804168,01/07/2020,13:30:00,01/09/2020,17:30:00,9,01/09/2020,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),989393,205565,UNKNOWN,UNKNOWN,M,,40.730905,-73.981442,"(40.730905, -73.981442)",PATROL BORO MAN SOUTH,(null),18-24,ASIAN / PACIFIC ISLANDER,M
173102782,12/29/2017,20:00:00,12/29/2017,23:59:00,9,12/30/2017,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),988749,205122,(null),(null),(null),,40.729689,-73.983767,"(40.729689, -73.983767)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,F
150952773,03/05/2016,18:15:00,03/05/2016,18:37:00,9,03/05/2016,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985843,204657,18-24,BLACK,M,,40.72841269,-73.99425247,"(40.72841269, -73.99425247)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
143674963,06/11/2015,13:00:00,06/11/2015,14:00:00,9,06/12/2015,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,FAST FOOD,N.Y. POLICE DEPT,0,(null),(null),(null),986050,204977,(null),BLACK,M,,40.729294,-73.993504,"(40.729294, -73.993504)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
93043699,10/12/2013,00:19:00,,(null),9,10/12/2013,238,FRAUDULENT ACCOSTING,466.0,"ACCOSTING,FRAUDULENT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987469,205834,(null),(null),(null),,40.731644,-73.988383,"(40.731644, -73.988383)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,D
