CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298665456,12/26/2024,18:30:00,12/29/2024,14:00:00,9,12/31/2024,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990199,202462,(null),(null),(null),,40.722396,-73.978538,"(40.722396, -73.978538)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
298466293,12/26/2024,05:20:00,12/26/2024,05:22:00,9,12/26/2024,110,GRAND LARCENY OF MOTOR VEHICLE,451.0,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988650,202743,UNKNOWN,UNKNOWN,U,,40.723168,-73.984126,"(40.723168, -73.984126)",PATROL BORO MAN SOUTH,(null),25-44,UNKNOWN,M
297611435,12/06/2024,22:25:00,12/06/2024,22:27:00,9,12/06/2024,110,GRAND LARCENY OF MOTOR VEHICLE,451.0,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988484,205422,UNKNOWN,UNKNOWN,U,,40.730513,-73.984722,"(40.730513, -73.984722)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297053841,11/22/2024,16:00:00,11/25/2024,07:00:00,9,11/25/2024,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990929,201243,UNKNOWN,UNKNOWN,U,,40.71904,-73.975903,"(40.71904, -73.975903)",PATROL BORO MAN SOUTH,(null),65+,WHITE HISPANIC,M
296700610,11/18/2024,20:11:00,11/18/2024,22:45:00,9,11/19/2024,110,GRAND LARCENY OF MOTOR VEHICLE,451.0,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990005,204429,UNKNOWN,UNKNOWN,M,,40.727787,-73.979234,"(40.727787, -73.979234)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
296439684,11/13/2024,18:00:00,11/13/2024,18:40:00,9,11/13/2024,110,GRAND LARCENY OF MOTOR VEHICLE,450.0,"LARCENY, GRAND OF MOPED",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,UNKNOWN,WHITE HISPANIC,U,,40.721581,-73.977567,"(40.721581, -73.977567)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
296319990,11/11/2024,21:00:00,11/12/2024,06:30:00,9,11/12/2024,110,GRAND LARCENY OF MOTOR VEHICLE,451.0,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,UNKNOWN,UNKNOWN,M,,40.728094,-73.986483,"(40.728094, -73.986483)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
296182842,11/07/2024,19:30:00,11/08/2024,18:00:00,9,11/08/2024,110,GRAND LARCENY OF MOTOR VEHICLE,450.0,"LARCENY, GRAND OF MOPED",COMPLETED,FELONY,MANHATTAN,(null),GROCERY/BODEGA,N.Y. POLICE DEPT,0,(null),(null),,987058,203626,UNKNOWN,UNKNOWN,U,,40.72558254810495,-73.9898691952011,"(40.72558254810495, -73.9898691952011)",PATROL BORO MAN SOUTH,(null),25-44,AMERICAN INDIAN/ALASKAN NATIVE,M
296028571,09/18/2024,23:00:00,10/12/2024,20:00:00,9,11/06/2024,110,GRAND LARCENY OF MOTOR VEHICLE,450.0,"LARCENY, GRAND OF MOPED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,986885,204011,UNKNOWN,UNKNOWN,U,,40.726641,-73.990491,"(40.726641, -73.990491)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
295886528,10/31/2024,17:00:00,11/01/2024,04:00:00,9,11/04/2024,110,GRAND LARCENY OF MOTOR VEHICLE,451.0,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991359,203185,UNKNOWN,UNKNOWN,U,,40.72438,-73.974351,"(40.72438, -73.974351)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
