CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298703698,12/31/2024,17:45:00,12/31/2024,17:52:00,9,12/31/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,990954,203045,UNKNOWN,UNKNOWN,F,,40.723996,-73.975814,"(40.723996, -73.975814)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
298704200,12/31/2024,17:50:00,12/31/2024,18:00:00,9,12/31/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),73257,991599,203109,UNKNOWN,UNKNOWN,F,,40.72416090160228,-73.97348657506016,"(40.72416090160228, -73.97348657506016)",PATROL BORO MAN SOUTH,(null),65+,BLACK HISPANIC,F
298659101,12/30/2024,14:10:00,12/30/2024,14:20:00,9,12/30/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),73257,991599,203109,UNKNOWN,WHITE HISPANIC,M,,40.72416090160228,-73.97348657506016,"(40.72416090160228, -73.97348657506016)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,F
298654610,12/30/2024,10:25:00,12/30/2024,10:32:00,9,12/30/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,(null),(null),,990662,204061,45-64,BLACK HISPANIC,M,,40.726786,-73.976866,"(40.726786, -73.976866)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
298678607,12/08/2024,00:30:00,12/08/2024,01:30:00,9,12/29/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,45-64,WHITE HISPANIC,M,,40.72159,-73.977569,"(40.72159, -73.977569)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
299080554,12/28/2024,20:00:00,12/28/2024,20:05:00,9,12/28/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,991317,203703,25-44,BLACK,M,,40.7258,-73.974501,"(40.7258, -73.974501)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
298601902,12/28/2024,16:00:00,12/28/2024,16:40:00,9,12/28/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,990954,203045,25-44,BLACK HISPANIC,M,,40.723996,-73.975814,"(40.723996, -73.975814)",PATROL BORO MAN SOUTH,(null),45-64,BLACK HISPANIC,F
298567162,12/27/2024,16:47:00,12/27/2024,17:00:00,9,12/27/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991373,203288,UNKNOWN,WHITE HISPANIC,F,,40.724661,-73.974302,"(40.724661, -73.974302)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
298466292,12/24/2024,21:00:00,12/24/2024,21:10:00,9,12/24/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990684,203336,25-44,UNKNOWN,F,,40.724794,-73.976787,"(40.724794, -73.976787)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
298212880,12/19/2024,05:00:00,12/19/2024,05:30:00,9,12/19/2024,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,989955,201642,45-64,BLACK,F,,40.720146,-73.979417,"(40.720146, -73.979417)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
