CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
279699205,12/30/2023,02:30:00,12/30/2023,02:58:00,9,12/30/2023,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987891,202853,18-24,WHITE HISPANIC,M,,40.723462,-73.986861,"(40.723462, -73.986861)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,M
273467175,08/26/2023,02:45:00,,(null),9,08/26/2023,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988123,202550,25-44,BLACK,M,,40.722629,-73.986027,"(40.722629, -73.986027)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
266703731,04/15/2023,00:40:00,04/15/2023,01:17:00,9,04/15/2023,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987779,203371,18-24,BLACK,M,,40.724883,-73.987268,"(40.724883, -73.987268)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
155711048,08/12/2016,02:20:00,08/12/2016,02:46:00,9,08/12/2016,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987184,205840,25-44,WHITE HISPANIC,M,,40.731659,-73.989412,"(40.731659, -73.989412)",PATROL BORO MAN SOUTH,(null),25-44,UNKNOWN,M
146831283,10/11/2015,01:40:00,10/11/2015,02:00:00,9,10/11/2015,230,JOSTLING,464.0,JOSTLING,ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987598,206067,25-44,BLACK HISPANIC,F,,40.732284,-73.987918,"(40.732284, -73.987918)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
92254416,07/28/2013,02:05:00,07/28/2013,02:20:00,9,07/28/2013,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987184,205840,(null),(null),(null),,40.731659,-73.989412,"(40.731659, -73.989412)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,F
87232979,10/13/2012,01:30:00,10/13/2012,01:33:00,9,10/14/2012,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),986487,203784,(null),(null),(null),,40.726018,-73.991928,"(40.726018, -73.991928)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,D
85632911,07/06/2012,01:50:00,07/06/2012,02:02:00,9,07/06/2012,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987184,205840,(null),(null),(null),,40.731659,-73.989412,"(40.731659, -73.989412)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,F
85194115,06/10/2012,03:50:00,06/10/2012,04:05:00,9,06/10/2012,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987589,205049,(null),(null),(null),,40.72949,-73.987951,"(40.72949, -73.987951)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
83352121,02/25/2012,01:50:00,02/25/2012,02:00:00,9,02/25/2012,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987589,205049,(null),(null),(null),,40.72949,-73.987951,"(40.72949, -73.987951)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
62763231,06/14/2009,17:00:00,,(null),9,06/14/2009,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,STORE UNCLASSIFIED,N.Y. POLICE DEPT,0,(null),(null),(null),986785,206841,(null),(null),(null),,40.734408,-73.990849,"(40.734408, -73.990849)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
60304258,04/05/2009,23:35:00,,(null),9,04/06/2009,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988631,204189,(null),(null),(null),,40.727129,-73.984192,"(40.727129, -73.984192)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,E
