CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
269545304,06/08/2023,08:23:00,06/08/2023,09:40:00,9,06/09/2023,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),14762,989632,202781,25-44,BLACK,U,,40.723262,-73.980582,"(40.723262, -73.980582)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
250787066,09/05/2022,16:30:00,09/05/2022,17:00:00,9,09/06/2022,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990147,203913,18-24,WHITE HISPANIC,M,,40.726371,-73.978721,"(40.726371, -73.978721)",PATROL BORO MAN SOUTH,(null),18-24,UNKNOWN,F
243618879,04/13/2022,17:00:00,,(null),9,04/13/2022,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),990293,203411,25-44,WHITE HISPANIC,F,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
242725686,03/26/2022,10:58:00,03/26/2022,11:08:00,9,03/26/2022,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),990538,203841,25-44,WHITE HISPANIC,M,,40.726171,-73.977313,"(40.726171, -73.977313)",PATROL BORO MAN SOUTH,(null),25-44,BLACK HISPANIC,F
185285498,07/09/2018,18:00:00,07/17/2018,17:00:00,9,07/17/2018,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),989760,203987,25-44,WHITE,F,,40.726573,-73.98012,"(40.726573, -73.98012)",PATROL BORO MAN SOUTH,(null),<18,WHITE,M
155896930,08/18/2016,07:00:00,08/18/2016,07:04:00,9,08/18/2016,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,0,(null),(null),(null),988512,203253,25-44,WHITE,M,,40.724559,-73.984624,"(40.724559, -73.984624)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
144096197,06/26/2015,23:00:00,06/29/2015,15:00:00,9,06/29/2015,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),986791,203773,45-64,WHITE HISPANIC,F,,40.725987,-73.990832,"(40.725987, -73.990832)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M
138183879,08/11/2014,15:20:00,08/11/2014,19:21:00,9,08/11/2014,124,KIDNAPPING & RELATED OFFENSES,185.0,KIDNAPPING 2,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991203,201754,(null),(null),(null),,40.720443,-73.974915,"(40.720443, -73.974915)",PATROL BORO MAN SOUTH,(null),<18,BLACK,M
93052998,10/07/2013,17:30:00,10/12/2013,03:45:00,9,10/12/2013,124,KIDNAPPING & RELATED OFFENSES,187.0,KIDNAPPING 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),CAMPOS PLAZA I,3856,990788,204295,25-44,WHITE HISPANIC,M,,40.727419,-73.976409,"(40.727419, -73.976409)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,F
92988304,10/08/2013,08:30:00,10/08/2013,08:40:00,9,10/08/2013,124,KIDNAPPING & RELATED OFFENSES,185.0,KIDNAPPING 2,ATTEMPTED,FELONY,MANHATTAN,INSIDE,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989399,203334,(null),(null),(null),,40.724782,-73.981421,"(40.724782, -73.981421)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,F
80519417,08/01/2011,00:01:00,08/30/2011,17:30:00,9,08/30/2011,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),986770,203101,45-64,UNKNOWN,F,,40.724142,-73.990907,"(40.724142, -73.990907)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
80169277,08/03/2011,18:23:00,08/05/2011,12:00:00,9,08/05/2011,124,KIDNAPPING & RELATED OFFENSES,187.0,KIDNAPPING 1,COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990234,203304,25-44,WHITE,M,,40.72469715,-73.97841099,"(40.72469715, -73.97841099)",PATROL BORO MAN SOUTH,(null),18-24,BLACK HISPANIC,F
75297730,10/27/2010,11:00:00,10/27/2010,12:10:00,9,10/27/2010,124,KIDNAPPING & RELATED OFFENSES,185.0,KIDNAPPING 2,ATTEMPTED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989018,203407,45-64,BLACK,U,,40.724982,-73.982795,"(40.724982, -73.982795)",PATROL BORO MAN SOUTH,(null),<18,WHITE,M
72961211,05/29/2010,14:00:00,05/29/2010,17:01:00,9,05/29/2010,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),989955,201642,(null),(null),(null),,40.720138,-73.979416,"(40.720138, -73.979416)",PATROL BORO MAN SOUTH,(null),18-24,BLACK HISPANIC,F
65562111,09/02/2009,20:00:00,09/02/2009,23:00:00,9,09/07/2009,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),988484,205422,(null),(null),(null),,40.730513,-73.984722,"(40.730513, -73.984722)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
65311193,08/16/2009,22:00:00,08/31/2009,13:00:00,9,08/31/2009,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),990293,203411,25-44,WHITE HISPANIC,F,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),25-44,UNKNOWN,M
56203194,01/30/2009,16:30:00,01/30/2009,16:55:00,9,01/30/2009,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991203,201754,25-44,WHITE HISPANIC,M,,40.720443,-73.974915,"(40.720443, -73.974915)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
54122728,11/14/2008,15:40:00,11/16/2008,10:00:00,9,11/16/2008,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990211,201703,25-44,BLACK,M,,40.720304,-73.978492,"(40.720304, -73.978492)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
47840858,06/22/2008,21:30:00,,(null),9,06/22/2008,124,KIDNAPPING & RELATED OFFENSES,193.0,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990345,201948,25-44,WHITE HISPANIC,M,,40.720976,-73.97801,"(40.720976, -73.97801)",PATROL BORO MAN SOUTH,(null),(null),ASIAN / PACIFIC ISLANDER,F
46878580,05/31/2008,13:00:00,05/31/2008,13:10:00,9,05/31/2008,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991203,201754,(null),(null),(null),,40.720443,-73.974915,"(40.720443, -73.974915)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
24702503,10/06/2006,01:22:00,10/06/2006,03:03:00,9,10/06/2006,124,KIDNAPPING & RELATED OFFENSES,183.0,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,MANHATTAN,FRONT OF,TAXI (YELLOW LICENSED),N.Y. POLICE DEPT,0,(null),(null),(null),986428,205224,25-44,UNKNOWN,M,,40.729971,-73.992138,"(40.729971, -73.992138)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
