CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298477244,12/26/2024,11:49:00,12/26/2024,11:51:00,9,12/26/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990147,203913,25-44,WHITE,M,,40.726379,-73.978722,"(40.726379, -73.978722)",PATROL BORO MAN SOUTH,(null),<18,BLACK,M
298212879,12/19/2024,06:30:00,12/19/2024,06:41:00,9,12/19/2024,126,MISCELLANEOUS PENAL LAW,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),41563,990664,204848,(null),(null),(null),,40.728945,-73.976856,"(40.728945, -73.976856)",PATROL BORO MAN SOUTH,(null),65+,BLACK HISPANIC,F
298171194,12/18/2024,13:20:00,12/18/2024,13:35:00,9,12/18/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,45-64,BLACK,M,,40.72159,-73.977569,"(40.72159, -73.977569)",PATROL BORO MAN SOUTH,(null),45-64,UNKNOWN,F
297855298,12/11/2024,23:05:00,12/11/2024,23:12:00,9,12/11/2024,126,MISCELLANEOUS PENAL LAW,117.0,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,991074,203261,UNKNOWN,UNKNOWN,U,,40.72458,-73.975379,"(40.72458, -73.975379)",PATROL BORO MAN SOUTH,(null),25-44,UNKNOWN,M
297782377,12/10/2024,16:10:00,12/10/2024,16:15:00,9,12/10/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990831,202826,25-44,BLACK,M,,40.723385,-73.976256,"(40.723385, -73.976256)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
297736026,12/09/2024,21:30:00,12/09/2024,22:10:00,9,12/09/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988505,204679,25-44,WHITE HISPANIC,M,,40.728473,-73.984645,"(40.728473, -73.984645)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
297502416,12/04/2024,18:30:00,12/04/2024,18:40:00,9,12/04/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990377,204681,45-64,BLACK,M,,40.728477,-73.977891,"(40.728477, -73.977891)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
297576886,12/04/2024,10:15:00,12/04/2024,10:20:00,9,12/04/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990345,201948,18-24,BLACK,M,,40.720984,-73.978011,"(40.720984, -73.978011)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
297370237,12/02/2024,15:10:00,12/02/2024,15:15:00,9,12/02/2024,678,MISCELLANEOUS PENAL LAW,201.0,"TRESPASS 4,CRIMINAL SUB 2",COMPLETED,VIOLATION,MANHATTAN,REAR OF,DEPARTMENT STORE,N.Y. POLICE DEPT,0,(null),(null),,985793,204065,25-44,WHITE,M,,40.72679,-73.99443,"(40.72679, -73.99443)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297102451,11/26/2024,07:01:00,11/26/2024,07:02:00,9,11/26/2024,126,MISCELLANEOUS PENAL LAW,665.0,MAKING TERRORISTIC THREAT,COMPLETED,FELONY,MANHATTAN,INSIDE,COLLEGE/UNIVERSITY,N.Y. POLICE DEPT,0,(null),(null),,986050,204977,UNKNOWN,UNKNOWN,U,,40.729294,-73.993504,"(40.729294, -73.993504)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,M
297096714,11/26/2024,07:43:00,11/26/2024,08:42:00,9,11/26/2024,126,MISCELLANEOUS PENAL LAW,665.0,MAKING TERRORISTIC THREAT,COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,986163,203829,UNKNOWN,UNKNOWN,U,,40.726141,-73.993096,"(40.726141, -73.993096)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297273540,11/25/2024,08:30:00,11/25/2024,08:35:00,9,11/25/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987996,204541,UNKNOWN,WHITE HISPANIC,F,,40.728094,-73.986483,"(40.728094, -73.986483)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
297022219,11/22/2024,10:59:00,11/22/2024,11:15:00,9,11/24/2024,126,MISCELLANEOUS PENAL LAW,644.0,"FALSE REPORT 1,FIRE",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),14762,990324,202686,(null),(null),(null),,40.723001,-73.978086,"(40.723001, -73.978086)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297010774,11/13/2024,20:32:00,11/13/2024,20:50:00,9,11/23/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,990439,202897,25-44,WHITE,F,,40.72358,-73.977668,"(40.72358, -73.977668)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
296931589,11/22/2024,13:39:00,11/22/2024,13:40:00,9,11/22/2024,678,MISCELLANEOUS PENAL LAW,201.0,"TRESPASS 4,CRIMINAL SUB 2",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),41563,990377,204681,(null),(null),(null),,40.728477,-73.977891,"(40.728477, -73.977891)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
296795277,11/20/2024,07:43:00,11/20/2024,07:45:00,9,11/20/2024,126,MISCELLANEOUS PENAL LAW,665.0,MAKING TERRORISTIC THREAT,COMPLETED,FELONY,MANHATTAN,INSIDE,PRIVATE/PAROCHIAL SCHOOL,N.Y. POLICE DEPT,0,(null),(null),,986938,205833,UNKNOWN,UNKNOWN,U,,40.731642,-73.990301,"(40.731642, -73.990301)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,M
296467706,11/13/2024,14:00:00,11/13/2024,14:10:00,9,11/13/2024,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987241,203954,45-64,WHITE,M,,40.726491,-73.989208,"(40.726491, -73.989208)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,F
