CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
290044412H1,07/12/2024,09:40:00,,(null),9,07/12/2024,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),,988814,203798,45-64,WHITE HISPANIC,M,,40.726053914581264,-73.98353371783699,"(40.726053914581264, -73.98353371783699)",PATROL BORO MAN SOUTH,(null),65+,BLACK,M
288999311H1,06/23/2024,17:53:00,,(null),9,06/23/2024,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),,989393,205565,25-44,ASIAN / PACIFIC ISLANDER,M,,40.730905,-73.981442,"(40.730905, -73.981442)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
268973978H1,05/27/2023,22:00:00,,(null),9,05/27/2023,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),990147,203913,25-44,BLACK,M,,40.726371,-73.978721,"(40.726371, -73.978721)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
257743059H1,12/19/2022,01:00:00,,(null),9,12/19/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),989627,205266,25-44,BLACK,M,,40.730083,-73.980597,"(40.730083, -73.980597)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
253238378H1,10/27/2022,19:34:00,,(null),9,10/27/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),7779,990397,204360,25-44,BLACK,M,,40.727598,-73.977819,"(40.727598, -73.977819)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M
250503798H1,09/01/2022,13:34:00,,(null),9,09/01/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),990905,204076,18-24,BLACK,M,,40.726817,-73.975988,"(40.726817, -73.975988)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
245106712H1,05/15/2022,23:18:00,,(null),9,05/15/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),990284,201838,18-24,BLACK,M,,40.7206733,-73.97823191,"(40.7206733, -73.97823191)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
244442668H1,04/29/2022,09:00:00,,(null),9,04/29/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),1506,989420,202605,45-64,BLACK HISPANIC,M,,40.72278,-73.981345,"(40.72278, -73.981345)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
260642337H1,03/18/2022,02:55:00,,(null),9,03/18/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),989135,203619,25-44,BLACK,M,,40.725563,-73.982373,"(40.725563, -73.982373)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
239197225H1,01/14/2022,21:56:00,,(null),9,01/14/2022,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),1823,991170,201398,25-44,BLACK,M,,40.719467,-73.975034,"(40.719467, -73.975034)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
230835283H1,07/14/2021,06:00:00,,(null),9,07/14/2021,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),988143,204028,25-44,BLACK,M,,40.726686,-73.985951,"(40.726686, -73.985951)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
224979857H1,02/10/2021,14:55:00,,(null),9,02/10/2021,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),988685,205006,18-24,WHITE HISPANIC,M,,40.72936964,-73.98399833,"(40.72936964, -73.98399833)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
223240541H1,01/18/2021,20:39:00,,(null),9,01/18/2021,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),989559,202084,(null),(null),(null),,40.721351,-73.980847,"(40.721351, -73.980847)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
219063828H1,10/11/2020,01:07:00,,(null),9,10/11/2020,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,<18,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
207701108H1,01/09/2020,03:34:00,,(null),9,01/09/2020,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
205144101H1,10/20/2019,21:50:00,,(null),9,10/20/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),8224,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
199728579H1,07/13/2019,02:45:00,,(null),9,07/13/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),WALD,1823,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
195145307H1,03/25/2019,20:47:00,,(null),9,03/25/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),1742,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
171254027H31598,11/03/2017,16:12:00,,(null),9,11/03/2017,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),RIIS,1742,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
171094332H31590,11/01/2017,07:55:00,,(null),9,11/01/2017,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,F
160071744H30567,01/04/2017,13:35:00,,(null),9,01/04/2017,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),WALD,1823,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,UNKNOWN,F
157235075H30189,09/30/2016,17:35:00,,(null),9,09/30/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),1823,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),65+,BLACK,F
153655025H29563,06/03/2016,01:52:00,,(null),9,06/03/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),1823,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,BLACK HISPANIC,M
152662749H29416,09/15/2005,15:00:00,,(null),9,04/29/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),65+,WHITE HISPANIC,M
152146929H29358,04/14/2016,22:44:00,,(null),9,04/14/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
152378032H29380,04/01/2016,14:10:00,,(null),9,04/01/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),65+,WHITE,M
141108397H27603,02/23/2015,16:39:00,,(null),9,02/23/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),WALD,1823,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
140244300H27335,12/31/1958,23:59:00,,(null),9,12/18/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),986354,205451,(null),(null),(null),,40.73059192,-73.99240854,"(40.73059192, -73.99240854)",PATROL BORO MAN SOUTH,(null),65+,WHITE,M
136695507H26191,05/09/2014,20:45:00,,(null),9,05/09/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),65+,ASIAN / PACIFIC ISLANDER,M
91732783H24991,07/19/2013,22:47:00,,(null),9,07/19/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),RIIS,1742,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
94201794H25742,05/10/2013,13:08:00,,(null),9,05/10/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
85328407H23081,06/09/2012,02:30:00,,(null),9,06/09/2012,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
81213726H21707,10/16/2011,02:04:00,,(null),9,10/16/2011,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),(null),7779,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M
75233836H19519,10/25/2010,05:32:00,,(null),9,10/25/2010,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
74279270H19125,08/22/2010,03:57:00,,(null),9,08/22/2010,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
72407632H18264,04/26/2010,12:02:00,,(null),9,04/26/2010,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
71681561H17857,03/09/2010,20:00:00,,(null),9,03/09/2010,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. HOUSING POLICE,2,(null),WALD,1823,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
69073960H17475,12/19/2009,04:15:00,,(null),9,12/19/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M
65953624H16982,09/18/2009,03:35:00,,(null),9,09/18/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
66508498H16882,09/01/2009,22:00:00,,(null),9,09/01/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
65010708H16809,08/23/2009,04:29:00,,(null),9,08/23/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK HISPANIC,M
47447795H14027,06/22/2008,03:05:00,,(null),9,06/22/2008,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. POLICE DEPT,0,(null),(null),1742,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
45218810H13495,04/03/2008,19:17:00,,(null),9,04/03/2008,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,OUTSIDE,MULTI DWELL - PUBLIC HOUS,N.Y. POLICE DEPT,0,(null),CAMPOS PLAZA I,7779,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
39546147H13329,02/29/2008,15:10:00,,(null),9,02/29/2008,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,MANHATTAN,INSIDE,SUPERMARKET,N.Y. POLICE DEPT,0,(null),(null),(null),987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
