CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298308492,12/21/2024,03:50:00,12/21/2024,04:20:00,9,12/21/2024,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,988894,203185,25-44,BLACK,M,,40.724381,-73.983244,"(40.724381, -73.983244)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
297748713,11/27/2024,19:00:00,11/27/2024,19:30:00,9,12/09/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990946,201746,25-44,WHITE HISPANIC,M,,40.720421,-73.975841,"(40.720421, -73.975841)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
297685833,12/08/2024,16:25:00,12/08/2024,16:35:00,9,12/08/2024,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985273,203770,25-44,WHITE HISPANIC,M,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),UNKNOWN,BLACK,M
297600254,12/06/2024,12:06:00,12/06/2024,12:16:00,9,12/06/2024,359,OFFENSES AGAINST PUBLIC ADMINI,759.0,"PUBLIC ADMINISTATION,UNCLASS M",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991373,203288,25-44,WHITE HISPANIC,M,,40.724653,-73.9743,"(40.724653, -73.9743)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297357183,12/02/2024,08:20:00,12/02/2024,11:46:00,9,12/02/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990468,202168,25-44,WHITE HISPANIC,M,,40.721581,-73.977567,"(40.721581, -73.977567)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
296985527,11/23/2024,19:30:00,11/23/2024,19:37:00,9,11/23/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987241,203954,45-64,WHITE,M,,40.726491,-73.989208,"(40.726491, -73.989208)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,F
296638983,11/17/2024,15:40:00,11/17/2024,15:52:00,9,11/17/2024,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987241,203954,25-44,WHITE HISPANIC,M,,40.726483,-73.989207,"(40.726483, -73.989207)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
296319991,11/11/2024,10:00:00,11/11/2024,10:38:00,9,11/11/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),73257,991383,202660,UNKNOWN,ASIAN / PACIFIC ISLANDER,M,,40.72293,-73.974266,"(40.72293, -73.974266)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295799603,11/01/2024,17:20:00,11/01/2024,17:27:00,9,11/01/2024,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990234,203304,25-44,BLACK,M,,40.72469715797717,-73.97841099323885,"(40.72469715797717, -73.97841099323885)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294818570,10/14/2024,01:15:00,10/14/2024,01:17:00,9,10/14/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,987650,203138,45-64,WHITE HISPANIC,M,,40.724244,-73.987731,"(40.724244, -73.987731)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294082544,09/29/2024,17:00:00,09/29/2024,17:10:00,9,09/29/2024,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991303,202241,25-44,BLACK,M,,40.721781,-73.974555,"(40.721781, -73.974555)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
