CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298573963,12/28/2024,10:00:00,12/28/2024,10:30:00,9,12/28/2024,355,OFFENSES AGAINST THE PERSON,191.0,CUSTODIAL INTERFERENCE 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,(null),(null),,990293,203411,25-44,WHITE HISPANIC,F,,40.725001,-73.978196,"(40.725001, -73.978196)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
292556946,08/31/2024,00:00:00,08/31/2024,04:25:00,9,08/31/2024,355,OFFENSES AGAINST THE PERSON,181.0,"IMPRISONMENT 2,UNLAWFUL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,988773,202966,25-44,WHITE,M,,40.723773,-73.983679,"(40.723773, -73.983679)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
291286993,08/07/2024,01:15:00,08/07/2024,01:20:00,9,08/07/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,UNKNOWN,UNKNOWN,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,18-24,BLACK,M
289743791,07/08/2024,20:50:00,07/08/2024,21:00:00,9,07/08/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),,986163,203829,UNKNOWN,BLACK,M,,40.726141,-73.993096,"(40.726141, -73.993096)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
289102850,06/25/2024,23:45:00,06/25/2024,23:55:00,9,06/26/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,989013,205601,25-44,WHITE HISPANIC,F,,40.731003,-73.982813,"(40.731003, -73.982813)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
283430405,03/08/2024,18:05:00,03/08/2024,18:06:00,9,03/08/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,(null),N.Y. POLICE DEPT,0,(null),(null),,986787,205031,18-24,ASIAN / PACIFIC ISLANDER,M,,40.729442,-73.990844,"(40.729442, -73.990844)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,L
281716947,02/05/2024,23:20:00,02/05/2024,23:35:00,9,02/06/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987193,204416,25-44,WHITE,F,,40.727753,-73.989381,"(40.727753, -73.989381)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
280424925,01/11/2024,21:30:00,,(null),9,01/11/2024,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CONSTRUCTION SITE,N.Y. POLICE DEPT,0,(null),(null),,990397,204360,UNKNOWN,UNKNOWN,U,,40.727598,-73.977819,"(40.727598, -73.977819)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
278723247,12/08/2023,20:46:00,12/08/2023,21:39:00,9,12/08/2023,355,OFFENSES AGAINST THE PERSON,181.0,"IMPRISONMENT 2,UNLAWFUL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),987733,206309,25-44,ASIAN / PACIFIC ISLANDER,F,,40.732948,-73.987432,"(40.732948, -73.987432)",PATROL BORO MAN SOUTH,(null),18-24,ASIAN / PACIFIC ISLANDER,M
273722048,08/31/2023,00:02:00,08/31/2023,00:10:00,9,08/31/2023,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986175,205173,UNKNOWN,UNKNOWN,U,,40.729829,-73.993051,"(40.729829, -73.993051)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F
