CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298297480,12/20/2024,19:09:00,12/20/2024,19:19:00,9,12/20/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988573,203364,45-64,WHITE HISPANIC,M,,40.72486281108367,-73.9844034913495,"(40.72486281108367, -73.9844034913495)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295850221,11/02/2024,19:11:00,11/02/2024,19:20:00,9,11/02/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988051,202409,25-44,BLACK,M,,40.72224180711411,-73.98628730097782,"(40.72224180711411, -73.98628730097782)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294728017,10/11/2024,17:00:00,10/11/2024,17:10:00,9,10/11/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,REAR OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,990954,203045,18-24,WHITE HISPANIC,M,,40.723987,-73.975813,"(40.723987, -73.975813)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294676105,10/10/2024,18:50:00,10/10/2024,18:55:00,9,10/10/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987399,202661,45-64,BLACK HISPANIC,M,,40.72293374228328,-73.98863937450834,"(40.72293374228328, -73.98863937450834)",PATROL BORO MAN SOUTH,(null),18-24,UNKNOWN,L
294603624,10/09/2024,17:54:00,10/09/2024,18:10:00,9,10/09/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,990950,202338,45-64,BLACK HISPANIC,M,,40.722046,-73.975828,"(40.722046, -73.975828)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
292125223,08/22/2024,17:38:00,08/22/2024,17:50:00,9,08/22/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989955,202021,25-44,WHITE HISPANIC,M,,40.721176,-73.979419,"(40.721176, -73.979419)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
291709687,08/14/2024,20:45:00,08/14/2024,21:20:00,9,08/14/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989341,203229,25-44,WHITE,M,,40.724491860186006,-73.98163280505841,"(40.724491860186006, -73.98163280505841)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
289446336,07/02/2024,17:40:00,07/02/2024,17:48:00,9,07/02/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987058,203626,18-24,BLACK,M,,40.72558254810495,-73.9898691952011,"(40.72558254810495, -73.9898691952011)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
283612593,03/12/2024,16:46:00,03/12/2024,18:00:00,9,03/12/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989869,202646,25-44,BLACK HISPANIC,M,,40.72289134683108,-73.9797283853858,"(40.72289134683108, -73.9797283853858)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
282211643,02/14/2024,15:15:00,02/14/2024,15:20:00,9,02/14/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,986591,204177,25-44,ASIAN / PACIFIC ISLANDER,M,,40.72709504499007,-73.99155386314432,"(40.727095044990065, -73.99155386314432)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
282039724,02/11/2024,09:45:00,02/11/2024,10:00:00,9,02/11/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988051,202409,25-44,WHITE HISPANIC,M,,40.72224180711411,-73.98628730097782,"(40.72224180711411, -73.98628730097782)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
280515216,01/14/2024,21:40:00,01/14/2024,21:50:00,9,01/14/2024,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988199,202689,25-44,WHITE HISPANIC,M,,40.7230102745554,-73.98575320366534,"(40.7230102745554, -73.98575320366534)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
278510204,12/05/2023,09:38:00,12/05/2023,09:42:00,9,12/05/2023,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),(null),N.Y. POLICE DEPT,0,(null),(null),(null),986450,203649,25-44,BLACK,F,,40.72564584962337,-73.99206275224039,"(40.72564584962337, -73.99206275224039)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
277261371,11/09/2023,13:26:00,11/09/2023,13:40:00,9,11/09/2023,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985401,203490,25-44,WHITE,M,,40.725209631936586,-73.99584740347154,"(40.725209631936586, -73.99584740347154)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
277188641,11/08/2023,13:28:00,11/08/2023,13:38:00,9,11/08/2023,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,(null),N.Y. POLICE DEPT,0,(null),(null),(null),989119,205070,25-44,WHITE,M,,40.729547,-73.98243,"(40.729547, -73.98243)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
277003451,11/04/2023,18:16:00,11/04/2023,18:42:00,9,11/04/2023,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990199,202462,18-24,BLACK HISPANIC,M,,40.722388,-73.978536,"(40.722388, -73.978536)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
