CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298240723,12/19/2024,17:42:00,12/19/2024,17:52:00,9,12/19/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,987048,206851,25-44,BLACK,M,4.0,40.73443438732101,-73.98990393253564,"(40.73443438732101, -73.98990393253564)",PATROL BORO MAN SOUTH,14 ST.-UNION SQUARE,UNKNOWN,UNKNOWN,D
297961482,12/14/2024,00:25:00,12/14/2024,00:40:00,9,12/14/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,D
297878806,12/12/2024,11:00:00,12/12/2024,11:08:00,9,12/12/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,D
297724102,12/09/2024,16:46:00,12/09/2024,16:51:00,9,12/09/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,E
297561005,12/05/2024,19:00:00,12/05/2024,19:39:00,9,12/05/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990293,203411,25-44,WHITE,F,,40.724993,-73.978195,"(40.724993, -73.978195)",PATROL BORO MAN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,M
297201312,11/28/2024,03:20:00,11/28/2024,03:22:00,9,11/28/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,WHITE,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,D
296928426,11/22/2024,14:00:00,11/22/2024,14:18:00,9,11/22/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,45-64,ASIAN / PACIFIC ISLANDER,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,D
296870564,11/21/2024,13:45:00,11/21/2024,13:55:00,9,11/21/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,987399,202661,25-44,BLACK,M,4.0,40.72293374228328,-73.98863937450834,"(40.72293374228328, -73.98863937450834)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,D
294771849,10/12/2024,17:30:00,10/12/2024,17:37:00,9,10/12/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,25-44,BLACK,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,D
293249116,09/13/2024,16:15:00,09/13/2024,16:24:00,9,09/13/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,D
293030330,09/10/2024,08:34:00,09/10/2024,08:38:00,9,09/10/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,45-64,WHITE HISPANIC,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,E
292996062,09/09/2024,14:58:00,09/09/2024,15:02:00,9,09/09/2024,343,OTHER OFFENSES RELATED TO THEFT,475.0,UNAUTH. SALE OF TRANS. SERVICE,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,45-64,ASIAN / PACIFIC ISLANDER,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,E
292360328,08/27/2024,16:08:00,08/27/2024,16:11:00,9,08/27/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,985733,203753,25-44,BLACK,M,4.0,40.72593145361038,-73.99464955051585,"(40.72593145361038, -73.99464955051585)",PATROL BORO MAN SOUTH,BLEECKER STREET,UNKNOWN,UNKNOWN,D
292054554,08/21/2024,15:46:00,08/21/2024,15:46:00,9,08/21/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,(null),(null),,987803,206435,18-24,WHITE,M,,40.73329229863372,-73.98717987386496,"(40.73329229863372, -73.98717987386496)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291997552,08/20/2024,18:17:00,08/20/2024,18:17:00,9,08/20/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,(null),(null),,987803,206435,18-24,WHITE,F,,40.73329229863372,-73.98717987386496,"(40.73329229863372, -73.98717987386496)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291932258,08/19/2024,16:04:00,08/19/2024,16:04:00,9,08/19/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),OTHER,N.Y. POLICE DEPT,0,(null),(null),,987803,206435,25-44,BLACK,M,,40.73329229863372,-73.98717987386496,"(40.73329229863372, -73.98717987386496)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291793684,08/16/2024,08:18:00,08/16/2024,08:28:00,9,08/16/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,(null),(null),,988422,206092,18-24,BLACK,F,,40.73235057760129,-73.98494657742125,"(40.73235057760129, -73.98494657742125)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291707016,08/14/2024,18:51:00,08/14/2024,18:52:00,9,08/14/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986354,205451,25-44,BLACK,M,4.0,40.73059192344227,-73.9924085414421,"(40.73059192344227, -73.9924085414421)",PATROL BORO MAN SOUTH,8 ST.-NYU,UNKNOWN,UNKNOWN,E
291427624,08/09/2024,10:24:00,08/09/2024,10:28:00,9,08/09/2024,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,(null),(null),,988422,206092,18-24,BLACK HISPANIC,F,,40.73235057760129,-73.98494657742125,"(40.73235057760129, -73.98494657742125)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
