CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
276866104,10/15/2023,12:00:00,11/01/2023,17:30:00,9,11/01/2023,364,OTHER STATE LAWS (NON PENAL LA,848.0,"NY STATE LAWS,UNCLASSIFIED MIS",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),988631,204189,UNKNOWN,UNKNOWN,M,,40.727129,-73.984192,"(40.727129, -73.984192)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
268827827,05/10/2023,12:00:00,05/21/2023,19:00:00,9,05/25/2023,364,OTHER STATE LAWS (NON PENAL LA,848.0,"NY STATE LAWS,UNCLASSIFIED MIS",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),987891,202853,UNKNOWN,UNKNOWN,M,,40.723462,-73.986861,"(40.723462, -73.986861)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
265468259,03/21/2023,15:00:00,03/21/2023,15:05:00,9,03/21/2023,364,OTHER STATE LAWS (NON PENAL LA,812.0,"AGRICULTURE & MARKETS LAW,UNCL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,990950,202338,UNKNOWN,BLACK HISPANIC,M,,40.722046,-73.975828,"(40.722046, -73.975828)",PATROL BORO MAN SOUTH,(null),45-64,BLACK HISPANIC,F
264344408,02/25/2023,17:04:00,02/25/2023,17:30:00,9,02/25/2023,364,OTHER STATE LAWS (NON PENAL LA,848.0,"NY STATE LAWS,UNCLASSIFIED MIS",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),590,991373,203288,25-44,BLACK,M,,40.724653,-73.9743,"(40.724653, -73.9743)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,M
233839356,09/20/2021,20:41:00,09/20/2021,20:44:00,9,09/20/2021,364,OTHER STATE LAWS (NON PENAL LA,848.0,"NY STATE LAWS,UNCLASSIFIED MIS",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991203,201754,45-64,BLACK,F,,40.720443,-73.974915,"(40.720443, -73.974915)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
206672690,11/28/2019,02:00:00,11/28/2019,11:00:00,9,12/06/2019,364,OTHER STATE LAWS (NON PENAL LA,812.0,"AGRICULTURE & MARKETS LAW,UNCL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),46543,987664,202662,(null),(null),(null),,40.722937,-73.987683,"(40.722937, -73.987683)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
178601603,04/25/2018,19:47:00,04/25/2018,21:50:00,9,04/25/2018,364,OTHER STATE LAWS (NON PENAL LA,812.0,"AGRICULTURE & MARKETS LAW,UNCL",ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),989155,202896,18-24,WHITE,M,,40.72358,-73.982303,"(40.72358, -73.982303)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
172346857,12/06/2017,17:30:00,12/06/2017,17:35:00,9,12/06/2017,364,OTHER STATE LAWS (NON PENAL LA,809.0,TAX LAW,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,(null),(null),(null),990345,201948,25-44,BLACK,M,,40.720976,-73.97801,"(40.720976, -73.97801)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
169652610,09/22/2017,12:00:00,09/22/2017,13:00:00,9,09/23/2017,364,OTHER STATE LAWS (NON PENAL LA,812.0,"AGRICULTURE & MARKETS LAW,UNCL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,991317,203703,(null),(null),(null),,40.725792,-73.9745,"(40.725792, -73.9745)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
169427837,09/16/2017,00:01:00,,(null),9,09/16/2017,364,OTHER STATE LAWS (NON PENAL LA,812.0,"AGRICULTURE & MARKETS LAW,UNCL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),988751,204404,(null),(null),(null),,40.727719,-73.983757,"(40.727719, -73.983757)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
