CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298178867,12/04/2024,00:30:00,12/04/2024,00:35:00,9,12/04/2024,125,OTHER STATE LAWS,844.0,CAUSE SPI/KILL ANIMAL,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990954,203045,UNKNOWN,BLACK,M,,40.723996,-73.975814,"(40.723996, -73.975814)",PATROL BORO MAN SOUTH,(null),UNKNOWN,AMERICAN INDIAN/ALASKAN NATIVE,E
293135877,09/11/2024,19:10:00,09/11/2024,19:14:00,9,09/11/2024,125,OTHER STATE LAWS,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988505,204679,18-24,ASIAN / PACIFIC ISLANDER,M,,40.728481,-73.984646,"(40.728481, -73.984646)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
291031909,08/01/2024,23:00:00,08/01/2024,23:10:00,9,08/01/2024,125,OTHER STATE LAWS,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990071,204546,25-44,BLACK HISPANIC,M,,40.728106254511175,-73.97899798843295,"(40.728106254511175, -73.97899798843295)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
290783874,07/28/2024,18:12:00,07/28/2024,18:20:00,9,07/28/2024,125,OTHER STATE LAWS,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,MANHATTAN,FRONT OF,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,987581,206557,25-44,WHITE HISPANIC,M,,40.733629,-73.98798,"(40.733629, -73.98798)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
289657957,07/06/2024,22:50:00,07/06/2024,22:55:00,9,07/06/2024,125,OTHER STATE LAWS,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990994,204676,18-24,BLACK,F,,40.72846241722416,-73.97566769911063,"(40.72846241722416, -73.97566769911063)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
285938376,04/26/2024,02:43:00,04/26/2024,02:59:00,9,04/26/2024,125,OTHER STATE LAWS,847.0,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987399,202661,25-44,BLACK,M,,40.72293374228328,-73.98863937450834,"(40.72293374228328, -73.98863937450834)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
255652285,12/09/2022,04:14:00,12/09/2022,04:54:00,9,12/09/2022,677,OTHER STATE LAWS,849.0,"NY STATE LAWS,UNCLASSIFIED VIO",COMPLETED,VIOLATION,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987041,205075,25-44,BLACK,M,,40.7295597,-73.98992992,"(40.7295597, -73.98992992)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
251804369,09/29/2022,22:03:00,09/29/2022,22:08:00,9,09/29/2022,677,OTHER STATE LAWS,849.0,"NY STATE LAWS,UNCLASSIFIED VIO",COMPLETED,VIOLATION,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988203,204133,25-44,WHITE HISPANIC,M,,40.7269737,-73.98573792,"(40.7269737, -73.98573792)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
200379634,07/18/2019,13:00:00,07/18/2019,13:00:00,9,07/29/2019,677,OTHER STATE LAWS,849.0,"NY STATE LAWS,UNCLASSIFIED VIO",COMPLETED,VIOLATION,MANHATTAN,(null),OTHER,N.Y. POLICE DEPT,0,(null),(null),(null),987457,202780,(null),(null),(null),,40.72326034,-73.98843007,"(40.72326034, -73.98843007)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
72021659,04/01/2010,01:00:00,,(null),9,04/01/2010,677,OTHER STATE LAWS,849.0,"NY STATE LAWS,UNCLASSIFIED VIO",COMPLETED,VIOLATION,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),986785,206841,(null),(null),(null),,40.734408,-73.990849,"(40.734408, -73.990849)",PATROL BORO MAN SOUTH,(null),(null),UNKNOWN,D
