CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
292949911,09/05/2024,22:00:00,09/06/2024,09:00:00,9,09/08/2024,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),WALD,609,990592,202391,(null),(null),(null),,40.722192,-73.977119,"(40.722192, -73.977119)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
248194502,07/16/2022,15:00:00,07/16/2022,17:00:00,9,07/18/2022,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986386,204821,UNKNOWN,UNKNOWN,U,,40.728865,-73.992291,"(40.728865, -73.992291)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
248178930,07/13/2022,19:00:00,07/14/2022,08:00:00,9,07/14/2022,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989165,202146,UNKNOWN,UNKNOWN,U,,40.721522,-73.982265,"(40.721522, -73.982265)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
235198409,10/19/2021,13:00:00,10/19/2021,18:00:00,9,10/19/2021,342,PETIT LARCENY OF MOTOR VEHICLE,351.0,"LARCENY,PETIT OF MOTORCYCLE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987844,205779,UNKNOWN,UNKNOWN,U,,40.731492,-73.987031,"(40.731492, -73.987031)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
234192493,09/27/2021,23:00:00,09/28/2021,08:40:00,9,09/28/2021,342,PETIT LARCENY OF MOTOR VEHICLE,351.0,"LARCENY,PETIT OF MOTORCYCLE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989783,203260,UNKNOWN,UNKNOWN,U,,40.724577,-73.980035,"(40.724577, -73.980035)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
212624871,05/01/2020,16:00:00,05/02/2020,16:00:00,9,05/03/2020,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987872,204315,UNKNOWN,UNKNOWN,U,,40.727476,-73.986929,"(40.727476, -73.986929)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
197587135,05/23/2019,15:30:00,05/24/2019,10:50:00,9,05/24/2019,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),14762,989632,202781,UNKNOWN,UNKNOWN,U,,40.723262,-73.980582,"(40.723262, -73.980582)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
185849981,08/01/2018,05:00:00,,(null),9,08/01/2018,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989033,202676,(null),(null),(null),,40.722975,-73.982744,"(40.722975, -73.982744)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,M
182550859,05/08/2018,15:00:00,05/10/2018,11:00:00,9,05/10/2018,342,PETIT LARCENY OF MOTOR VEHICLE,350.0,"LARCENY, PETIT OF MOPED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988650,202743,UNKNOWN,UNKNOWN,U,,40.72316,-73.984125,"(40.72316, -73.984125)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
145377596,08/15/2015,18:00:00,08/16/2015,23:00:00,9,08/16/2015,342,PETIT LARCENY OF MOTOR VEHICLE,351.0,"LARCENY,PETIT OF MOTORCYCLE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989298,202384,(null),UNKNOWN,U,,40.722174,-73.981785,"(40.722174, -73.981785)",PATROL BORO MAN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,M
85581545,07/02/2012,21:00:00,07/03/2012,11:00:00,9,07/03/2012,342,PETIT LARCENY OF MOTOR VEHICLE,351.0,"LARCENY,PETIT OF MOTORCYCLE",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988390,203754,(null),UNKNOWN,U,,40.725936,-73.985061,"(40.725936, -73.985061)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
