CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298530542,12/27/2024,11:15:00,12/27/2024,12:27:00,9,12/27/2024,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,986738,202922,25-44,BLACK,M,4.0,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",PATROL BORO MAN SOUTH,2 AVENUE,UNKNOWN,UNKNOWN,D
296604578,11/16/2024,18:10:00,11/16/2024,18:17:00,9,11/16/2024,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990994,204676,25-44,BLACK,M,,40.72846241722416,-73.97566769911063,"(40.72846241722416, -73.97566769911063)",PATROL BORO MAN SOUTH,(null),25-44,AMERICAN INDIAN/ALASKAN NATIVE,F
295642222,10/29/2024,16:10:00,10/29/2024,16:17:00,9,10/29/2024,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,990020,205214,45-64,WHITE HISPANIC,M,,40.729942,-73.97918,"(40.729942, -73.97918)",PATROL BORO MAN SOUTH,(null),65+,BLACK,F
294412155,10/06/2024,01:14:00,10/06/2024,01:31:00,9,10/06/2024,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987048,206851,18-24,WHITE HISPANIC,M,,40.73443438732101,-73.98990393253564,"(40.73443438732101, -73.98990393253564)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
293999507,09/28/2024,07:17:00,09/28/2024,07:34:00,9,09/28/2024,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989955,202021,45-64,WHITE HISPANIC,M,,40.721176,-73.979419,"(40.721176, -73.979419)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
293209918,09/12/2024,23:05:00,09/12/2024,23:10:00,9,09/12/2024,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,990600,203948,25-44,BLACK,M,,40.726464526296105,-73.97708993502013,"(40.726464526296105, -73.97708993502013)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
292415654,08/28/2024,13:45:00,08/28/2024,13:59:00,9,08/28/2024,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985639,203598,65+,ASIAN / PACIFIC ISLANDER,M,,40.725508,-73.994988,"(40.725508, -73.994988)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291756986,08/13/2024,16:00:00,08/15/2024,11:37:00,9,08/15/2024,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,CHURCH,N.Y. POLICE DEPT,0,(null),(null),,990027,203700,25-44,BLACK,M,,40.725784,-73.979155,"(40.725784, -73.979155)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
291681392,10/13/2023,17:00:00,10/13/2023,17:00:00,9,08/14/2024,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),,990662,204061,25-44,BLACK,M,,40.726777,-73.976865,"(40.726777, -73.976865)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
290583460,07/24/2024,17:20:00,07/24/2024,17:23:00,9,07/24/2024,111,POSSESSION OF STOLEN PROPERTY,494.0,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,990954,203045,25-44,WHITE HISPANIC,M,,40.723987,-73.975813,"(40.723987, -73.975813)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
