CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298606924,12/29/2024,03:00:00,12/29/2024,05:30:00,9,12/29/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
298288006,12/18/2024,14:20:00,12/18/2024,14:30:00,9,12/20/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
297855486,12/11/2024,19:00:00,12/11/2024,19:20:00,9,12/12/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BANK,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,BLACK,F
297679898,12/08/2024,16:00:00,,(null),9,12/08/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),,987496,203963,25-44,BLACK,M,4.0,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,2 AVENUE,<18,UNKNOWN,F
297619991,12/07/2024,02:15:00,12/07/2024,03:03:00,9,12/07/2024,116,SEX CRIMES,177.0,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,FRONT OF,TAXI (YELLOW LICENSED),N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
297272021,11/25/2024,08:00:00,11/26/2024,20:48:00,9,11/26/2024,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,987496,203963,25-44,BLACK HISPANIC,F,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,BLACK HISPANIC,F
296989135,11/18/2024,21:00:00,11/19/2024,07:00:00,9,11/23/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,WHITE,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
297412515,11/22/2024,07:40:00,,(null),9,11/22/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),LOWER EAST SIDE REHAB (GROUP 5),73265,987496,203963,45-64,UNKNOWN,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),45-64,UNKNOWN,F
296174696,11/08/2024,17:30:00,11/08/2024,17:35:00,9,11/08/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,(null),PARK/PLAYGROUND,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,45-64,WHITE HISPANIC,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,ASIAN / PACIFIC ISLANDER,M
296075932,11/24/2023,12:00:00,11/24/2023,13:00:00,9,11/06/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,F
295325138,10/15/2024,22:00:00,10/15/2024,22:15:00,9,10/23/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,45-64,BLACK HISPANIC,U,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
295171996,10/20/2024,21:08:00,10/20/2024,21:10:00,9,10/20/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",ATTEMPTED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
294875910,10/04/2024,23:00:00,10/05/2024,01:00:00,9,10/14/2024,116,SEX CRIMES,596.0,OBSCENE MATERIAL - UNDER 17 YE,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,18-24,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294480510,05/09/2024,23:00:00,05/09/2024,23:59:00,9,10/07/2024,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,OTHER,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,WHITE HISPANIC,F,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,WHITE HISPANIC,F
294369398,10/01/2024,17:13:00,10/01/2024,17:36:00,9,10/01/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,UNKNOWN,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,BLACK HISPANIC,M
293913954,05/30/2024,17:00:00,05/30/2024,20:00:00,9,09/26/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,WHITE,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
293856347,06/30/2024,00:00:00,07/01/2024,23:59:00,9,09/25/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),RIIS,590,987496,203963,<18,BLACK,F,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,BLACK,F
293673164,09/21/2024,09:35:00,09/21/2024,09:40:00,9,09/21/2024,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,WHITE HISPANIC,M
293460039,08/31/2024,03:30:00,08/31/2024,04:00:00,9,09/17/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,OTHER,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,WHITE,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
293145093,09/09/2024,01:00:00,09/09/2024,03:00:00,9,09/11/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,(null),(null),(null),,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M
292676884,01/01/2024,00:00:00,05/31/2024,23:59:00,9,09/03/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,COLLEGE/UNIVERSITY,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,UNKNOWN,U,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,ASIAN / PACIFIC ISLANDER,F
292470805,08/24/2024,12:40:00,08/24/2024,12:47:00,9,08/29/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,18-24,WHITE HISPANIC,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
292446093,08/29/2024,02:33:00,08/29/2024,02:35:00,9,08/29/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,UNKNOWN,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
292298327,08/24/2024,22:30:00,08/24/2024,22:39:00,9,08/25/2024,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,25-44,BLACK,M,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
292095638,08/16/2024,16:00:00,08/16/2024,19:00:00,9,08/21/2024,116,SEX CRIMES,177.0,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),,987496,203963,18-24,ASIAN / PACIFIC ISLANDER,F,,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
