CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298308491,12/21/2024,06:50:00,12/21/2024,06:55:00,9,12/21/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,987803,206435,UNKNOWN,WHITE,M,,40.73329229863372,-73.98717987386496,"(40.73329229863372, -73.98717987386496)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298131788,12/03/2024,15:30:00,12/03/2024,16:00:00,9,12/17/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989341,203229,UNKNOWN,UNKNOWN,M,,40.724491860186006,-73.98163280505841,"(40.724491860186006, -73.98163280505841)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298073105,12/16/2024,19:00:00,12/16/2024,19:15:00,9,12/16/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,986489,205660,25-44,BLACK,M,,40.73116554410396,-73.99192137736193,"(40.73116554410396, -73.99192137736193)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298010283,12/15/2024,09:00:00,12/15/2024,09:09:00,9,12/15/2024,348,VEHICLE AND TRAFFIC LAWS,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990439,202897,25-44,BLACK,M,,40.72358,-73.977668,"(40.72358, -73.977668)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297773452,12/10/2024,14:39:00,12/10/2024,14:45:00,9,12/10/2024,348,VEHICLE AND TRAFFIC LAWS,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990451,201401,25-44,BLACK,M,,40.719474,-73.977628,"(40.719474, -73.977628)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297724101,12/09/2024,15:30:00,12/09/2024,15:42:00,9,12/09/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987226,205389,UNKNOWN,UNKNOWN,U,,40.730422,-73.98926,"(40.730422, -73.98926)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
297671422,12/08/2024,14:32:00,12/08/2024,14:33:00,9,12/08/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,987118,203736,UNKNOWN,UNKNOWN,U,,40.725885,-73.989649,"(40.725885, -73.989649)",PATROL BORO MAN SOUTH,(null),UNKNOWN,BLACK HISPANIC,E
297224561,11/27/2024,22:30:00,11/27/2024,23:00:00,9,11/28/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,986795,203149,UNKNOWN,UNKNOWN,U,,40.72427337846118,-73.9908182365698,"(40.72427337846118, -73.9908182365698)",PATROL BORO MAN SOUTH,(null),UNKNOWN,WHITE HISPANIC,E
296898895,11/21/2024,19:00:00,11/21/2024,19:48:00,9,11/21/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,986710,204714,45-64,WHITE,M,,40.72856894676988,-73.9911243245538,"(40.72856894676988, -73.9911243245538)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,M
296259029,11/10/2024,21:50:00,11/10/2024,21:57:00,9,11/10/2024,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988329,202922,UNKNOWN,UNKNOWN,U,,40.72364974414536,-73.9852840618191,"(40.72364974414536, -73.9852840618191)",PATROL BORO MAN SOUTH,(null),UNKNOWN,WHITE,E
