CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
299686253,9,MANHATTAN,01/18/2025,18:09:00,01/18/2025,19:18:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,236,MISDEMEANOR,FRONT OF,DANGEROUS WEAPONS,(null),PATROL BORO MAN SOUTH,782,"WEAPONS, POSSESSION, ETC",HIGHWAY/PARKWAY,01/18/2025,(null),45-64,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,990929,201243,40.719048,-73.975905,"(40.719048, -73.975905)",POINT (-73.975905 40.719048)
303253208,9,MANHATTAN,03/19/2025,09:40:00,03/19/2025,09:45:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",BANK,03/19/2025,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,986930,206924,40.734645,-73.99033,"(40.734645, -73.99033)",POINT (-73.99033 40.734645)
301547677,9,MANHATTAN,02/08/2025,17:02:00,02/08/2025,17:25:00,COMPLETED,RIIS II,73257,2,N.Y. HOUSING POLICE,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - PUBLIC HOUSING,02/08/2025,(null),18-24,BLACK,F,,25-44,BLACK,F,990831,202826,40.723393,-73.976257,"(40.723393, -73.976257)",POINT (-73.976257 40.723393)
301265075,9,MANHATTAN,02/17/2025,15:00:00,02/17/2025,16:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,02/17/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,990077,202241,40.721788,-73.97898,"(40.721788, -73.97898)",POINT (-73.97898 40.721788)
300018882,9,MANHATTAN,01/18/2025,04:00:00,01/19/2025,18:45:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,01/25/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,990415,203626,40.725591,-73.977758,"(40.725591, -73.977758)",POINT (-73.977758 40.725591)
301608244,9,MANHATTAN,02/24/2025,21:51:00,02/24/2025,22:01:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,126,FELONY,(null),MISCELLANEOUS PENAL LAW,(null),PATROL BORO MAN SOUTH,760,"BRIBERY,PUBLIC ADMINISTRATION",TRANSIT - NYC SUBWAY,02/24/2025,2 AVENUE,25-44,WHITE,F,4,UNKNOWN,UNKNOWN,E,986738,202922,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",POINT (-73.99102396312567 40.72365033469323)
302732424,9,MANHATTAN,03/11/2025,13:44:00,03/11/2025,14:35:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",HOMELESS SHELTER,03/13/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,989955,202021,40.721184,-73.97942,"(40.721184, -73.97942)",POINT (-73.97942 40.721184)
301355553,9,MANHATTAN,02/19/2025,16:50:00,02/19/2025,16:56:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,110,FELONY,FRONT OF,GRAND LARCENY OF MOTOR VEHICLE,(null),PATROL BORO MAN SOUTH,441,"LARCENY,GRAND OF AUTO",STREET,02/19/2025,(null),(null),(null),(null),,45-64,BLACK,M,988090,205490,40.730708,-73.986143,"(40.730708, -73.986143)",POINT (-73.986143 40.730708)
303476195,9,MANHATTAN,03/23/2025,01:00:00,03/23/2025,04:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,(null),PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",SMALL MERCHANT,03/23/2025,(null),UNKNOWN,BLACK,M,,25-44,WHITE,F,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",POINT (-73.9882902437563 40.7265156408036)
300030803,9,MANHATTAN,01/24/2025,15:38:00,01/24/2025,15:45:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,01/25/2025,(null),65+,WHITE,F,,25-44,WHITE,M,989877,204957,40.729243,-73.979696,"(40.729243, -73.979696)",POINT (-73.979696 40.729243)
299483914,9,MANHATTAN,01/15/2025,15:25:00,01/15/2025,15:34:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,236,MISDEMEANOR,(null),DANGEROUS WEAPONS,(null),PATROL BORO MAN SOUTH,782,"WEAPONS, POSSESSION, ETC",TRANSIT - NYC SUBWAY,01/15/2025,2 AVENUE,25-44,BLACK,M,4,UNKNOWN,UNKNOWN,E,986738,202922,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",POINT (-73.99102396312567 40.72365033469323)
299695932,9,MANHATTAN,01/18/2025,10:24:00,01/19/2025,04:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,110,FELONY,OPPOSITE OF,GRAND LARCENY OF MOTOR VEHICLE,(null),PATROL BORO MAN SOUTH,441,"LARCENY,GRAND OF AUTO",STREET,01/19/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,990324,202686,40.72301,-73.978088,"(40.72301, -73.978088)",POINT (-73.978088 40.72301)
